path,size_bytes,extension,corpus,guessed_class
frontier-gem/target/debug/deps/libregex_automata-1bdf464fbfb70a7d.rlib,12047008,.rlib,unknown,other
ios/RheaApp/build/DerivedData/SourcePackages/checkouts/GRDB.swift/SQLiteCustom/src/sqlite/test/fuzzdata3.db,11848704,.db,app_bundles,database
packages/RheaKit/.build/checkouts/GRDB.swift/SQLiteCustom/src/sqlite/test/fuzzdata3.db,11848704,.db,ui_assets,database
packages/RheaKit/.build/index-build/checkouts/GRDB.swift/SQLiteCustom/src/sqlite/test/fuzzdata3.db,11848704,.db,ui_assets,database
"2 помоги мне доказать, что sqlite устарела и _это самая устойчивая идея_ это манипуляция, а не аргумент - Google Search.mhtml",11825262,.mhtml,unknown,other
f(prompt) Token Mapping.pdf,11785911,.pdf,unknown,other
.git/cursor/crepe/597c71d2f7adac3128b96afc3314917db2f12c82/index.bin,11472608,.bin,unknown,binary_artifact
docs/system-docs/node_modules/.cache/webpack/client-production-en/1.pack,11342420,.pack,unknown,other
ios/rhea-plus-ui/.build/index-build/repositories/AlertKit-4c90932f/objects/pack/pack-22aed07e3ab949295e885ebdbd73d164f8c8992d.pack,11318483,.pack,unknown,other
.git/objects/fa/2cdfee57ef6628f393a62a1f03d0be0d0c3af7,11274999,[none],unknown,other
rhea-atlas/.next/cache/webpack/client-development/1.pack.gz,11121363,.gz,app_bundles,archive
.entire/metadata/15ffa5d1-c7f7-44fe-a777-0648f3b4c3ed/full.jsonl,10922165,.jsonl,unknown,other
packages/RheaKit/.build/index-build/arm64-apple-macosx/debug/ModuleCache/3R5YVR6BP80WT/AppKit-2VI8NB39I5AT6.pcm,10885908,.pcm,ui_assets,other
packages/RheaKit/.build/index-build/arm64-apple-macosx/debug/ModuleCache/13MXK8LEWXLFA/AppKit-2VI8NB39I5AT6.pcm,10885640,.pcm,ui_assets,other
packages/RheaKit/.build/index-build/arm64-apple-macosx/debug/ModuleCache/3LTWWW40BYTD7/AppKit-2VI8NB39I5AT6.pcm,10885428,.pcm,ui_assets,other
packages/RheaKit/.build/index-build/arm64-apple-macosx/debug/ModuleCache/2MHV37PHSK53Z/AppKit-2VI8NB39I5AT6.pcm,10885404,.pcm,ui_assets,other
packages/RheaKit/.build/index-build/arm64-apple-macosx/debug/ModuleCache/B39TT8BUGESD/AppKit-2VI8NB39I5AT6.pcm,10885404,.pcm,ui_assets,other
packages/RheaKit/.build/index-build/arm64-apple-macosx/debug/ModuleCache/2MOS8PTFCXL7A/AppKit-2VI8NB39I5AT6.pcm,10885148,.pcm,ui_assets,other
rhea-cli/target/debug/deps/libtokio-c2bfb249ce4fc4b0.rlib,10827552,.rlib,unknown,other
rhea-session-server/target/debug/deps/libtokio-1400c546f7124126.rlib,10825064,.rlib,unknown,other
rhea-cli/target/debug/incremental/rhea_cli-1dm2a7kzmtd8t/s-hgekvbxrg5-1ouac7p-bcoqwvepfok2w3zdly3mbjrua/dep-graph.bin,10824400,.bin,unknown,binary_artifact
rhea-cli/target/release/deps/libtokio-954b629808d2294b.rlib,10805280,.rlib,unknown,other
rhea-tui/target/release/deps/libtokio-750963864b8957ae.rlib,10803712,.rlib,unknown,other
rhea-session-server/target/release/deps/libtokio-8d2b3485ddeb7b24.rlib,10781984,.rlib,unknown,other
rhea-ai-auth/target/release/deps/libtokio-7c98e4be88218811.rlib,10780912,.rlib,unknown,other
rhea-angel-game/target/release/deps/libtokio-7c98e4be88218811.rlib,10780912,.rlib,unknown,other
rhea-biorenderer/target/release/deps/libtokio-7c98e4be88218811.rlib,10780912,.rlib,unknown,other
rhea-rag/target/release/deps/libtokio-7c98e4be88218811.rlib,10780912,.rlib,unknown,other
frontier-gem/target/debug/deps/libregex_syntax-9c0b22791894d3f3.rlib,10757304,.rlib,unknown,other
frontier-gem/target/debug/deps/libobjc2_foundation-fe6567067debf57c.rlib,10747392,.rlib,unknown,other
fulltree.md,10697821,.md,unknown,document
rhea-tui/target/release/deps/libappcui-a750efd2c72d3445.rlib,10652176,.rlib,unknown,other
rhea-cli/target/release/deps/libtokio-4b1496d7875002dd.rlib,10631416,.rlib,unknown,other
rhea-session-server/target/release/deps/libtokio-4b1496d7875002dd.rlib,10631416,.rlib,unknown,other
packages/RheaKit/.build/index-build/arm64-apple-macosx/debug/ModuleCache/276PRSSVJJI72/AppKit-2VI8NB39I5AT6.pcm,10539032,.pcm,ui_assets,other
packages/RheaKit/.build/index-build/arm64-apple-macosx/debug/ModuleCache/3TAJ5AL5E78IP/AppKit-2VI8NB39I5AT6.pcm,10538768,.pcm,ui_assets,other
packages/RheaKit/.build/index-build/arm64-apple-macosx/debug/ModuleCache/VWYCT01293OX/AppKit-2VI8NB39I5AT6.pcm,10538736,.pcm,ui_assets,other
packages/RheaKit/.build/arm64-apple-macosx/debug/ModuleCache/276PRSSVJJI72/AppKit-2VI8NB39I5AT6.pcm,10538560,.pcm,ui_assets,other
